,0
0,2
1,1
2,2
3,0
4,0
5,1
6,2
7,0
8,1
9,1
10,0
11,1
12,1
13,0
14,1
15,1
16,1
17,1
18,0
19,1
20,2
21,2
22,0
23,1
24,1
25,0
26,0
27,0
28,2
29,1
30,2
31,0
32,1
33,0
34,1
35,0
36,0
37,0
38,2
39,1
40,1
41,2
42,2
43,0
44,0
45,1
46,0
47,1
48,0
49,1
50,1
51,1
52,0
53,2
54,2
55,2
56,0
57,0
58,2
59,0
60,1
61,0
62,1
63,1
64,1
65,0
66,1
67,0
68,1
69,0
70,0
71,1
72,1
73,1
74,1
75,1
76,0
77,1
78,0
79,0
80,1
81,0
82,1
83,0
84,0
85,0
86,2
87,1
88,0
89,1
90,0
91,1
92,1
93,1
94,1
95,2
96,1
97,1
98,1
99,0
100,1
101,1
102,0
103,1
104,0
105,0
106,2
107,0
108,1
109,2
110,1
111,1
112,2
113,2
114,0
115,0
116,1
117,1
118,1
119,1
120,2
121,1
122,0
123,2
124,1
125,0
126,0
127,1
128,1
129,2
130,1
131,1
132,1
133,0
134,0
135,0
136,1
137,0
138,1
139,1
140,0
141,1
142,0
143,0
144,0
145,0
146,1
147,1
148,2
149,1
150,1
151,0
152,1
153,1
154,1
155,0
156,2
157,1
158,0
159,2
160,1
161,1
162,0
163,1
164,0
165,1
166,0
167,2
168,1
169,2
170,0
171,1
172,0
173,0
174,1
175,1
176,1
177,0
178,2
179,1
180,0
181,1
182,1
183,1
184,0
185,2
186,0
187,0
188,0
189,1
190,2
191,0
192,2
193,2
194,1
195,2
196,2
197,0
198,0
199,1
200,1
201,2
202,1
203,1
204,0
205,2
206,1
207,1
208,0
209,2
210,0
211,0
212,1
213,1
214,1
215,0
216,1
217,1
218,1
219,1
220,0
221,0
222,1
223,1
224,1
225,1
226,2
227,0
228,0
229,1
230,1
231,0
232,1
233,1
234,2
235,0
236,0
237,2
238,1
239,2
240,1
241,2
242,1
243,1
244,1
245,1
246,1
247,0
248,2
249,1
250,2
251,0
252,2
253,0
254,0
255,2
256,0
257,1
258,1
259,1
260,2
261,0
262,1
263,0
264,2
265,0
266,1
267,2
268,1
269,0
270,1
271,0
272,2
273,1
274,1
275,1
276,0
277,1
278,1
279,2
280,0
281,0
282,1
283,0
284,0
285,1
286,1
287,1
288,0
289,1
290,2
291,0
292,1
293,0
294,2
295,1
296,0
297,0
298,1
299,1
300,2
301,2
302,1
303,1
304,0
305,0
306,1
307,0
308,1
309,1
310,0
311,0
312,1
313,1
314,1
315,1
316,0
317,1
318,1
319,1
320,0
321,1
322,1
323,0
324,1
325,1
326,0
327,0
328,1
329,1
330,2
331,2
332,0
333,1
334,2
335,2
336,0
337,0
338,2
339,0
340,2
341,1
342,1
343,1
344,0
345,0
346,1
347,1
348,0
349,2
350,1
351,2
352,0
353,0
354,1
355,0
356,1
357,1
358,1
359,1
360,2
361,0
362,0
363,1
364,0
365,0
366,2
367,1
368,0
369,1
370,0
371,2
372,1
373,1
374,0
375,0
376,0
377,1
378,1
379,2
380,2
381,1
382,0
383,1
384,0
385,2
386,1
387,1
388,2
389,0
390,0
391,0
392,1
393,0
394,1
395,2
396,1
397,0
398,2
399,0
400,2
401,2
402,2
403,0
404,0
405,1
406,0
407,1
408,0
409,1
410,2
411,1
412,1
413,0
414,2
415,1
416,1
417,0
418,2
419,0
420,0
421,2
422,0
423,1
424,0
425,0
426,1
427,0
428,0
429,2
430,1
431,1
432,1
433,1
434,0
435,2
436,0
437,0
438,1
439,2
440,2
441,0
442,0
443,2
444,2
445,0
446,1
447,0
448,1
449,1
450,0
451,1
452,1
453,2
454,0
455,0
456,2
457,2
458,1
459,0
460,0
461,1
462,2
463,0
464,2
465,2
466,0
467,0
468,1
469,0
470,0
471,1
472,1
473,1
474,2
475,1
476,0
477,0
478,0
479,1
480,1
481,1
482,1
483,0
484,2
485,2
486,0
487,2
488,0
489,0
490,1
491,0
492,1
493,1
494,0
495,2
496,0
497,0
498,0
499,0
500,1
501,1
502,1
503,0
504,0
505,1
506,1
507,2
508,2
509,0
510,1
511,2
512,0
513,0
514,1
515,2
516,0
517,1
518,1
519,0
520,1
521,0
522,1
523,0
524,1
525,0
526,1
527,2
528,1
529,0
530,2
531,0
532,1
533,2
534,1
535,0
536,1
537,0
538,2
539,0
540,1
541,2
542,1
543,0
544,0
545,1
546,0
547,2
548,1
549,2
550,1
551,1
552,1
553,1
554,0
555,2
556,1
557,1
558,1
559,0
560,1
561,0
562,0
563,1
564,1
565,1
566,1
567,2
568,1
569,1
570,1
571,2
572,1
573,0
574,1
575,1
576,2
577,1
578,1
579,0
580,1
581,0
582,2
583,0
584,1
585,1
586,0
587,1
588,2
589,1
590,0
591,0
592,1
593,1
594,0
595,1
596,1
597,2
598,0
599,0
600,0
601,1
602,0
603,1
604,1
605,1
606,1
607,0
608,2
609,1
610,1
611,0
612,0
613,2
614,0
615,0
616,1
617,1
618,2
619,1
620,2
621,0
622,0
623,0
624,0
625,1
626,0
627,2
628,0
629,1
630,2
631,1
632,0
633,1
634,1
635,0
636,1
637,0
638,0
639,1
640,0
641,2
642,1
643,1
644,0
645,1
646,1
647,2
648,1
649,0
650,2
651,1
652,2
653,1
654,0
655,0
656,0
657,2
658,1
659,1
660,1
661,0
662,0
663,1
664,1
665,1
666,2
667,1
668,0
669,0
670,2
671,1
672,1
673,0
674,1
675,1
676,1
677,2
678,2
679,2
680,0
681,1
682,0
683,1
684,1
685,1
686,0
687,0
688,0
689,0
690,1
691,0
692,0
693,0
694,0
695,1
696,1
697,0
698,0
699,2
700,0
701,1
702,0
703,1
704,2
705,0
706,1
707,1
708,1
709,1
710,2
711,1
712,1
713,1
714,2
715,0
716,1
717,1
718,1
719,2
720,2
721,0
722,0
723,1
724,1
725,0
726,0
727,1
728,1
729,0
730,1
731,0
