,0
0,7.0
1,6.0
2,7.0
3,5.0
4,5.0
5,6.0
6,7.0
7,4.0
8,6.0
9,6.0
10,5.0
11,6.0
12,6.0
13,5.0
14,6.0
15,6.0
16,6.0
17,6.0
18,5.0
19,6.0
20,7.0
21,7.0
22,5.0
23,6.0
24,6.0
25,4.0
26,5.0
27,5.0
28,8.0
29,6.0
30,7.0
31,5.0
32,6.0
33,5.0
34,6.0
35,5.0
36,5.0
37,5.0
38,7.0
39,6.0
40,6.0
41,7.0
42,7.0
43,5.0
44,4.0
45,6.0
46,5.0
47,6.0
48,5.0
49,6.0
50,6.0
51,6.0
52,5.0
53,7.0
54,8.0
55,8.0
56,5.0
57,5.0
58,7.0
59,5.0
60,6.0
61,4.0
62,6.0
63,6.0
64,6.0
65,5.0
66,6.0
67,5.0
68,6.0
69,5.0
70,5.0
71,6.0
72,6.0
73,6.0
74,6.0
75,6.0
76,3.0
77,6.0
78,5.0
79,5.0
80,6.0
81,5.0
82,6.0
83,5.0
84,5.0
85,5.0
86,8.0
87,6.0
88,5.0
89,6.0
90,5.0
91,6.0
92,6.0
93,6.0
94,6.0
95,8.0
96,6.0
97,6.0
98,6.0
99,5.0
100,6.0
101,6.0
102,5.0
103,6.0
104,5.0
105,5.0
106,7.0
107,4.0
108,6.0
109,7.0
110,6.0
111,6.0
112,8.0
113,7.0
114,4.0
115,5.0
116,6.0
117,6.0
118,6.0
119,6.0
120,7.0
121,6.0
122,5.0
123,8.0
124,6.0
125,5.0
126,5.0
127,6.0
128,6.0
129,7.0
130,6.0
131,6.0
132,6.0
133,4.0
134,5.0
135,5.0
136,6.0
137,5.0
138,6.0
139,6.0
140,5.0
141,6.0
142,5.0
143,5.0
144,5.0
145,5.0
146,6.0
147,6.0
148,7.0
149,6.0
150,6.0
151,5.0
152,6.0
153,6.0
154,6.0
155,5.0
156,7.0
157,6.0
158,5.0
159,7.0
160,6.0
161,6.0
162,5.0
163,6.0
164,5.0
165,6.0
166,4.0
167,7.0
168,6.0
169,8.0
170,5.0
171,6.0
172,5.0
173,5.0
174,6.0
175,6.0
176,6.0
177,5.0
178,7.0
179,6.0
180,5.0
181,6.0
182,6.0
183,6.0
184,5.0
185,7.0
186,5.0
187,5.0
188,5.0
189,6.0
190,7.0
191,5.0
192,8.0
193,7.0
194,6.0
195,7.0
196,7.0
197,5.0
198,5.0
199,6.0
200,6.0
201,8.0
202,6.0
203,6.0
204,5.0
205,7.0
206,6.0
207,6.0
208,5.0
209,7.0
210,5.0
211,5.0
212,6.0
213,6.0
214,6.0
215,4.0
216,6.0
217,6.0
218,6.0
219,6.0
220,5.0
221,5.0
222,6.0
223,6.0
224,6.0
225,6.0
226,7.0
227,5.0
228,5.0
229,6.0
230,6.0
231,5.0
232,6.0
233,6.0
234,7.0
235,5.0
236,5.0
